Scenario,CorrelationType,Size,InstanceFile,Algorithm,Run,ObjectiveValue,ExecutionTime,Error
scenario1,correlated_sc1,300,kpfs_5.txt,ILS-10,7,677.000000,0.0045,
scenario1,correlated_sc1,300,kpfs_5.txt,ILS-50,7,702.000000,0.0099,
scenario1,correlated_sc1,300,kpfs_5.txt,ILS-100,7,670.000000,0.0119,
scenario1,correlated_sc1,300,kpfs_5.txt,ILS-300,7,663.000000,0.0120,
scenario1,correlated_sc1,300,kpfs_5.txt,ILS-2,8,652.000000,0.0021,
scenario1,correlated_sc1,300,kpfs_5.txt,ILS-10,8,668.000000,0.0026,
scenario1,correlated_sc1,300,kpfs_5.txt,ILS-50,8,680.000000,0.0045,
scenario1,correlated_sc1,300,kpfs_5.txt,ILS-100,8,713.000000,0.0125,
scenario1,correlated_sc1,300,kpfs_5.txt,ILS-300,8,697.000000,0.0157,
scenario1,correlated_sc1,300,kpfs_5.txt,ILS-2,9,669.000000,0.0015,
scenario1,correlated_sc1,300,kpfs_5.txt,ILS-10,9,673.000000,0.0053,
scenario1,correlated_sc1,300,kpfs_5.txt,ILS-50,9,691.000000,0.0072,
scenario1,correlated_sc1,300,kpfs_5.txt,ILS-100,9,686.000000,0.0175,
scenario1,correlated_sc1,300,kpfs_5.txt,ILS-300,9,688.000000,0.0126,
scenario1,correlated_sc1,300,kpfs_5.txt,ILS-2,10,656.000000,0.0014,
scenario1,correlated_sc1,300,kpfs_5.txt,ILS-10,10,684.000000,0.0051,
scenario1,correlated_sc1,300,kpfs_5.txt,ILS-50,10,706.000000,0.0221,
scenario1,correlated_sc1,300,kpfs_5.txt,ILS-100,10,678.000000,0.0152,
scenario1,correlated_sc1,300,kpfs_5.txt,ILS-300,10,713.000000,0.0172,
scenario1,correlated_sc1,300,kpfs_6.txt,ILS-2,1,697.000000,0.0018,
scenario1,correlated_sc1,300,kpfs_6.txt,ILS-10,1,690.000000,0.0032,
scenario1,correlated_sc1,300,kpfs_6.txt,ILS-50,1,669.000000,0.0081,
scenario1,correlated_sc1,300,kpfs_6.txt,ILS-100,1,641.000000,0.0043,
scenario1,correlated_sc1,300,kpfs_6.txt,ILS-300,1,664.000000,0.0111,
scenario1,correlated_sc1,300,kpfs_6.txt,ILS-2,2,657.000000,0.0013,
scenario1,correlated_sc1,300,kpfs_6.txt,ILS-10,2,683.000000,0.0035,
scenario1,correlated_sc1,300,kpfs_6.txt,ILS-50,2,677.000000,0.0113,
scenario1,correlated_sc1,300,kpfs_6.txt,ILS-100,2,688.000000,0.0113,
scenario1,correlated_sc1,300,kpfs_6.txt,ILS-300,2,644.000000,0.0067,
scenario1,correlated_sc1,300,kpfs_6.txt,ILS-2,3,662.000000,0.0017,
scenario1,correlated_sc1,300,kpfs_6.txt,ILS-10,3,708.000000,0.0056,
scenario1,correlated_sc1,300,kpfs_6.txt,ILS-50,3,656.000000,0.0068,
scenario1,correlated_sc1,300,kpfs_6.txt,ILS-100,3,668.000000,0.0105,
scenario1,correlated_sc1,300,kpfs_6.txt,ILS-300,3,652.000000,0.0035,
scenario1,correlated_sc1,300,kpfs_6.txt,ILS-2,4,655.000000,0.0020,
scenario1,correlated_sc1,300,kpfs_6.txt,ILS-10,4,690.000000,0.0033,
scenario1,correlated_sc1,300,kpfs_6.txt,ILS-50,4,690.000000,0.0137,
scenario1,correlated_sc1,300,kpfs_6.txt,ILS-100,4,685.000000,0.0089,
scenario1,correlated_sc1,300,kpfs_6.txt,ILS-300,4,663.000000,0.0066,
scenario1,correlated_sc1,300,kpfs_6.txt,ILS-2,5,653.000000,0.0019,
scenario1,correlated_sc1,300,kpfs_6.txt,ILS-10,5,705.000000,0.0097,
scenario1,correlated_sc1,300,kpfs_6.txt,ILS-50,5,697.000000,0.0154,
scenario1,correlated_sc1,300,kpfs_6.txt,ILS-100,5,674.000000,0.0116,
scenario1,correlated_sc1,300,kpfs_6.txt,ILS-300,5,639.000000,0.0038,
scenario1,correlated_sc1,300,kpfs_6.txt,ILS-2,6,692.000000,0.0033,
scenario1,correlated_sc1,300,kpfs_6.txt,ILS-10,6,682.000000,0.0036,
scenario1,correlated_sc1,300,kpfs_6.txt,ILS-50,6,690.000000,0.0063,
scenario1,correlated_sc1,300,kpfs_6.txt,ILS-100,6,675.000000,0.0126,
scenario1,correlated_sc1,300,kpfs_6.txt,ILS-300,6,697.000000,0.0105,
scenario1,correlated_sc1,300,kpfs_6.txt,ILS-2,7,688.000000,0.0018,
scenario1,correlated_sc1,300,kpfs_6.txt,ILS-10,7,684.000000,0.0043,
scenario1,correlated_sc1,300,kpfs_6.txt,ILS-50,7,684.000000,0.0080,
scenario1,correlated_sc1,300,kpfs_6.txt,ILS-100,7,652.000000,0.0052,
scenario1,correlated_sc1,300,kpfs_6.txt,ILS-300,7,646.000000,0.0038,
scenario1,correlated_sc1,300,kpfs_6.txt,ILS-2,8,685.000000,0.0017,
scenario1,correlated_sc1,300,kpfs_6.txt,ILS-10,8,707.000000,0.0061,
scenario1,correlated_sc1,300,kpfs_6.txt,ILS-50,8,672.000000,0.0058,
scenario1,correlated_sc1,300,kpfs_6.txt,ILS-100,8,683.000000,0.0160,
scenario1,correlated_sc1,300,kpfs_6.txt,ILS-300,8,683.000000,0.0058,
scenario1,correlated_sc1,300,kpfs_6.txt,ILS-2,9,676.000000,0.0028,
scenario1,correlated_sc1,300,kpfs_6.txt,ILS-10,9,717.000000,0.0048,
scenario1,correlated_sc1,300,kpfs_6.txt,ILS-50,9,650.000000,0.0056,
scenario1,correlated_sc1,300,kpfs_6.txt,ILS-100,9,686.000000,0.0126,
