Instancia,Incumbent,BestBd,Gap,TempoExecucao(s),NosExplorados
instances/scenario2/fully_correlated_sc2/1000/kpfs_4.txt,325,744,1.28923,1800.03,1204
instances/scenario2/fully_correlated_sc2/1000/kpfs_5.txt,293,686,1.3413,1800.03,1194
instances/scenario2/fully_correlated_sc2/1000/kpfs_6.txt,286,684,1.39161,1800.03,1254
instances/scenario2/fully_correlated_sc2/1000/kpfs_7.txt,305,724,1.37377,1800.02,1272
instances/scenario2/fully_correlated_sc2/1000/kpfs_8.txt,298,704,1.36242,1800.03,1323
instances/scenario2/fully_correlated_sc2/1000/kpfs_9.txt,296,707,1.38851,1800.03,1210
instances/scenario2/fully_correlated_sc2/300/kpfs_1.txt,427,571,0.337237,1800.03,43575
instances/scenario2/fully_correlated_sc2/300/kpfs_10.txt,462,591,0.279221,1800.04,46211
instances/scenario2/fully_correlated_sc2/300/kpfs_2.txt,465,579,0.245161,1800.02,40225
instances/scenario2/fully_correlated_sc2/300/kpfs_3.txt,470,597,0.270213,1800.04,47679
instances/scenario2/fully_correlated_sc2/300/kpfs_4.txt,454,595,0.310573,1800.02,46455
instances/scenario2/fully_correlated_sc2/300/kpfs_5.txt,498,600,0.204819,1800.03,49022
instances/scenario2/fully_correlated_sc2/300/kpfs_6.txt,476,583,0.22479,1800.04,47974
instances/scenario2/fully_correlated_sc2/300/kpfs_7.txt,462,570,0.233766,1800.03,42053
instances/scenario2/fully_correlated_sc2/300/kpfs_8.txt,488,592,0.213115,1800.1,36736
instances/scenario2/fully_correlated_sc2/300/kpfs_9.txt,453,558,0.231788,1800.05,31423
instances/scenario2/fully_correlated_sc2/500/kpfs_1.txt,392,662,0.688776,1800.02,8464
instances/scenario2/fully_correlated_sc2/500/kpfs_10.txt,401,654,0.630923,1800.09,10202
instances/scenario2/fully_correlated_sc2/500/kpfs_2.txt,421,675,0.603325,1800.01,8442
instances/scenario2/fully_correlated_sc2/500/kpfs_3.txt,423,671,0.586288,1800.2,10202
instances/scenario2/fully_correlated_sc2/500/kpfs_4.txt,434,674,0.552995,1800.04,10202
instances/scenario2/fully_correlated_sc2/500/kpfs_5.txt,431,711,0.649652,1800.15,10317
instances/scenario2/fully_correlated_sc2/500/kpfs_6.txt,423,656,0.550827,1800.02,9840
instances/scenario2/fully_correlated_sc2/500/kpfs_7.txt,427,681,0.594848,1800.03,10202
instances/scenario2/fully_correlated_sc2/500/kpfs_8.txt,401,664,0.65586,1800.16,10202
instances/scenario2/fully_correlated_sc2/500/kpfs_9.txt,415,684,0.648193,1800.03,10202
instances/scenario2/fully_correlated_sc2/700/kpfs_1.txt,380,727,0.913158,1800.04,2339
instances/scenario2/fully_correlated_sc2/700/kpfs_10.txt,349,707,1.02579,1800.02,2772
instances/scenario2/fully_correlated_sc2/700/kpfs_2.txt,359,714,0.988858,1800.01,3183
instances/scenario2/fully_correlated_sc2/700/kpfs_3.txt,310,688,1.21935,1800.01,3139
